SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0140101,Units,106,107,169,1297,882,1951,981,187,2780,1038,1332,2150
0140129,Units,5236,2438,3146,3039,4615,6680,5773,7932,8015,2096,6592,1107
0140140,Units,318,336,633,300,495,111,244,502,88,182,122,254
0140142,Units,542,887,2359,1264,923,3690,1757,3663,1705,1169,3265,301
0140143,Units,133,259,71,169,116,237,362,160,23,46,354,30
0140144,Units,186,121,72,66,284,108,277,204,301,270,239,206
0140146,Units,0,0,0,0,0,0,0,0,0,0,0,0
0140147,Units,211,169,70,135,42,91,101,277,205,31,33,361
0140148,Units,381,401,82,209,197,304,186,263,187,173,12,112
0140149,Units,253,377,391,168,404,264,65,89,457,341,172,286
0140172,Units,568,2244,2415,2408,2441,3008,3136,2904,2125,385,675,1088
0140186,Units,207,521,661,908,17,44,380,61,883,204,696,369
0140187,Units,2,5,8,0,8,6,2,1,6,9,8,9
0140202,Units,63,61,48,446,204,274,390,36,196,231,229,170
0140212,Units,331,400,249,574,826,469,118,363,75,652,71,818
0140213,Units,423,192,154,220,334,624,569,338,440,404,259,618
0140228,Units,63,334,185,467,206,177,227,392,14,56,126,18
0140229,Units,1927,631,945,1029,927,2027,1549,34,1611,1157,572,797
0140237,Units,0,0,0,0,0,0,0,0,0,0,0,0
0140242,Units,1043,673,121,1150,1013,752,224,156,1120,353,1024,197
0140243,Units,397,161,336,256,17,452,194,1069,294,735,1080,589
0140250,Units,3652,309,737,2042,745,1098,453,1250,3329,623,2512,3577
0140264,Units,631,410,297,95,69,161,758,544,821,706,559,595
0140265,Units,100,455,633,597,544,180,318,569,435,516,542,553
0140267,Units,851,427,852,808,76,311,531,463,901,76,181,183
0140268,Units,436,358,285,503,506,85,473,492,248,83,141,95
0140274,Units,39,59,54,2,74,72,21,66,71,57,18,12
0140491,Units,554,164,13,246,122,624,278,181,370,282,526,625
0140665,Units,3,2,1,1,4,0,2,4,1,0,0,0
0140681,Units,69,385,520,736,658,902,601,590,517,519,806,455
0140699,Units,194,542,514,284,426,119,304,595,45,429,375,514
0140715,Units,7168,801,1927,8745,7297,4673,939,8047,4123,1056,1445,5233
0140798,Units,630,468,264,406,373,229,473,539,510,357,0,333
0140806,Units,3982,2572,4854,3627,2585,662,5066,4901,901,295,1002,1499
0140939,Units,687,113,764,2069,534,2240,970,3264,1645,2773,3652,3454
0140947,Units,1164,1012,1873,1466,2012,297,16,2192,1477,653,186,415
0141002,Units,1122,1391,1397,2710,1503,183,2366,1941,1214,2235,2061,2714
0141010,Units,2612,211,2195,2319,1948,2564,1330,2293,1946,933,1346,80
0141119,Units,8,1,11,5,25,20,26,5,11,30,1,21
0141127,Units,244,31,162,27,212,10,104,173,49,210,109,152
0141135,Units,169,372,342,207,268,280,99,376,177,61,345,319
0141200,Units,1334,879,406,622,363,1142,1514,1011,405,527,587,833
0141218,Units,1193,146,455,447,808,690,1867,517,1900,1147,1751,250
0141382,Units,193,460,414,860,328,94,665,526,1148,850,848,597
0142422,Units,235,575,490,363,609,208,606,69,405,12,195,110
0142430,Units,61,130,39,52,50,27,64,92,12,18,114,112
0142448,Units,9,38,121,142,82,42,134,69,57,67,40,58
0142497,Units,79,1395,594,402,1147,1029,1180,1274,537,1413,293,1456
0142554,Units,114,199,21,112,395,365,223,179,392,300,193,405
0142562,Units,364,103,66,388,256,424,165,284,182,238,71,25
0142570,Units,296,104,53,440,370,342,458,506,569,256,180,391
0142604,Units,258,170,69,75,285,53,17,346,182,320,355,41
0142711,Units,69,31,232,194,239,105,184,141,20,130,32,4
0400001,Units,233,232,636,651,783,661,367,267,285,405,327,199
0400002,Units,607,605,667,1123,1142,1136,554,1112,869,462,879,914
0400044,Units,577,511,1051,855,319,514,388,314,11,1140,995,1008
0400069,Units,504,671,403,332,329,474,66,674,416,45,606,731
0400077,Units,390,526,31,454,10,634,41,443,58,377,425,76
0400143,Units,1058,1228,376,1286,250,1382,667,193,1088,480,1203,953
0400150,Units,605,653,253,274,684,110,236,107,248,87,279,400
0400168,Units,25,460,2013,1284,1686,486,1606,620,541,1051,1034,2135
0400176,Units,677,459,349,250,459,58,200,167,527,491,354,294
0400184,Units,1875,941,911,1721,636,961,80,2105,413,1677,246,541
0400192,Units,1431,458,1025,224,1375,666,792,1069,232,1301,1176,936
0400200,Units,927,1385,1097,1017,109,519,1073,1268,1183,876,519,120
0400218,Units,788,756,3264,3265,2005,3474,2279,3904,4023,3747,2989,2335
0400226,Units,1768,1730,432,495,2521,505,1853,2787,2351,647,2839,1562
0400234,Units,853,2730,569,1082,2476,1407,218,1829,1489,1710,250,571
0400242,Units,279,737,1559,1038,1459,1723,1031,1921,1164,1441,822,1908
0400259,Units,1033,567,354,333,1019,1087,662,409,841,483,1070,848
0400267,Units,966,2012,1617,1152,141,395,1196,455,1724,974,53,1181
0400275,Units,66,652,104,327,423,217,905,744,317,771,336,778
0410187,Units,-329,-196,-283,-250,-236,-298,-194,-147,-333,-123,-1,-229
0415000,Units,1,1,1,0,1,1,0,0,0,0,0,1
0430008,Units,156,185,93,892,654,438,916,553,613,385,368,279
0430010,Units,108,600,859,786,792,53,565,869,635,595,231,292
0430018,Units,213,263,116,385,359,143,267,77,386,304,124,347
0430023,Units,223,461,146,533,221,78,515,72,430,575,667,538
0430026,Units,174,327,347,272,286,163,333,301,291,56,397,181
0430037,Units,575,320,252,547,405,146,268,517,145,61,185,460
0430041,Units,353,1169,485,189,628,87,216,227,1983,343,1360,80
0430044,Units,0,0,0,0,0,0,0,0,0,0,0,0
0430058,Units,577,1352,983,216,1085,1343,1804,1334,199,1391,448,931
0430066,Units,1300,747,1292,1257,1201,51,645,1296,1279,1425,1553,193
0430071,Units,736,161,740,554,399,142,441,20,295,786,842,237
0430074,Units,986,6,325,76,277,1157,436,1194,347,542,72,441
0430137,Units,5107,5452,4093,2379,2189,2962,1544,4171,1979,3288,1737,3247
0430138,Units,0,0,0,0,0,0,0,0,0,0,0,0
0430139,Units,32,1644,4520,4942,5471,674,2973,2116,2553,628,2446,5466
0430140,Units,1011,235,1393,485,2221,570,1763,265,716,227,258,220
0430165,Units,2813,2940,552,2137,99,3645,2384,2124,478,2683,724,3329
0430204,Units,335,637,654,623,455,502,1161,564,370,368,721,1407
0430208,Units,564,402,2051,168,684,1884,2136,1107,216,1014,646,708
0430209,Units,341,925,112,889,835,269,627,1082,977,84,599,664
0430210,Units,134,282,5,566,57,269,4,477,498,553,310,424
0430212,Units,213,61,129,186,165,90,264,97,132,85,255,155
0430213,Units,402,565,676,455,575,142,22,533,66,559,538,635
0430215,Units,52,158,176,246,84,195,264,263,185,83,213,247
0430216,Units,20,61,27,18,114,23,58,111,72,35,63,120
0430219,Units,356,399,368,708,1146,822,660,618,1172,590,1089,674
0430221,Units,1509,26,1098,272,1431,452,599,1328,1208,1137,885,271
0430237,Units,192,211,773,579,745,381,727,476,261,103,834,117
0430253,Units,677,371,656,312,352,560,230,91,311,206,264,383
0430254,Units,4097,4442,853,4475,4486,5152,2573,4820,4767,261,1865,1997
0430255,Units,2531,4632,7790,4626,3550,7175,1764,4033,7402,6694,2353,5123
0430257,Units,3407,3844,3589,2715,2200,4032,1947,263,4078,823,124,1360
0430258,Units,1711,257,1823,2503,120,1338,2111,1973,2009,2835,4,1996
0430259,Units,541,847,1185,183,1215,834,719,722,248,391,391,1075
0430260,Units,719,126,720,240,81,399,343,495,153,503,561,777
0430261,Units,1820,1212,1996,2290,1140,2146,605,1923,108,328,632,1101
0430262,Units,887,824,810,169,1299,1290,579,1031,1269,817,1341,160
0430263,Units,904,435,53,119,329,873,41,650,927,42,994,585
0430265,Units,809,492,787,234,41,811,433,898,874,892,80,7
0430266,Units,1747,2255,760,2704,746,2645,2136,1094,1590,1033,686,871
0430267,Units,79,324,252,64,79,896,667,952,487,653,646,288
0430268,Units,477,11,64,749,600,825,615,72,738,754,503,20
0430269,Units,1324,1124,526,1691,1177,496,966,678,1755,430,429,1553
0430275,Units,0,0,0,0,0,0,0,0,0,0,0,0
0430276,Units,0,7,0,1,7,4,7,4,4,5,7,5
0430277,Units,1,0,0,0,0,0,1,1,0,1,0,1
0430281,Units,0,0,0,0,0,0,0,0,0,0,0,0
0430333,Units,1295,1384,1606,1207,25,854,965,1068,403,419,745,950
0430334,Units,2296,2304,800,1416,534,1012,415,263,1956,1924,2541,979
0430335,Units,1570,932,447,1671,882,104,865,217,469,1855,409,147
0430370,Units,83,200,17,115,135,67,126,133,89,144,149,120
0430375,Units,313,872,174,1115,311,1059,739,244,919,542,574,457
0430377,Units,659,574,415,237,380,442,38,809,836,721,563,903
0430391,Units,4,7,1,5,6,0,0,2,3,3,0,4
0430394,Units,5,10,4,10,11,11,1,7,1,6,1,5
0430395,Units,174,38,109,27,75,85,163,144,2,3,170,149
0430424,Units,200,259,12,240,157,394,125,391,40,300,191,414
0430426,Units,219,1446,1315,1455,909,1112,704,1388,1482,78,1457,1565
0430429,Units,359,76,56,426,62,53,108,423,159,296,437,54
0430441,Units,678,527,295,129,746,433,396,602,189,576,654,583
0430444,Units,249,350,387,516,455,185,259,247,32,263,341,383
0430450,Units,299,1173,139,1673,1133,501,1909,537,827,1147,1891,113
0430452,Units,1271,891,520,51,1333,588,558,750,414,238,825,1331
0430465,Units,88,248,90,141,107,31,105,110,220,190,248,147
0430469,Units,18,27,4,49,21,48,13,33,20,10,55,50
0430471,Units,44,13,13,3,23,22,10,44,32,16,28,14
0430850,Units,259,107,51,239,256,5,171,33,307,75,226,293
0430967,Units,109,73,19,131,247,182,134,221,107,116,222,216
0431205,Units,0,0,0,0,0,0,0,0,0,0,0,0
0431635,Units,1372,3444,1544,2987,1117,2623,1014,3506,1725,3504,1560,2130
0431643,Units,2822,1771,2359,4058,3726,1632,2445,3702,758,1772,59,3977
0431650,Units,1435,1197,1404,555,1988,1198,552,309,1964,1015,1077,554
0431668,Units,990,945,1087,1244,1093,141,41,189,1205,408,1101,722
0431676,Units,189,115,731,49,733,128,643,445,899,330,842,220
0431684,Units,806,624,129,906,1446,338,1935,1192,1412,76,1236,919
0431692,Units,714,627,1043,1392,539,398,409,518,791,425,997,1258
0431700,Units,1046,1976,485,1340,1839,1431,832,1916,1084,2041,2005,841
0431742,Units,4590,5457,7260,6594,6972,7025,1457,4556,7382,1388,3821,73
0431783,Units,933,1194,240,19,1483,1075,1820,383,430,64,399,1296
0431817,Units,397,1094,479,604,372,1138,929,587,313,299,365,1537
0431957,Units,475,2450,66,1198,1574,1487,425,1257,1498,829,1268,801
0432245,Units,775,519,527,267,722,215,715,485,642,259,668,418
0432344,Units,1065,1023,893,879,1170,79,174,152,375,405,780,658
0432351,Units,575,1279,287,348,2001,304,982,429,308,1455,1011,831
0432369,Units,10,44,17,83,89,1013,501,678,494,654,323,294
0432377,Units,528,747,202,984,105,63,116,762,211,259,629,930
0432518,Units,1527,1445,167,1148,43,962,482,2922,1907,1305,1113,1720
0432591,Units,167,634,811,135,87,82,614,460,695,199,791,831
0432609,Units,493,551,24,562,503,239,302,289,175,65,521,334
0432625,Units,1395,529,1816,1687,1302,1008,1690,137,969,489,59,1966
0432708,Units,4160,2751,1320,2266,373,3978,4017,2642,60,3318,3062,875
0432724,Units,8,586,551,99,476,251,522,591,903,440,961,968
0432732,Units,64,574,875,832,1129,315,690,976,831,548,163,831
0432765,Units,536,607,950,742,803,817,552,641,415,889,848,604
0433144,Units,254,727,453,974,533,88,932,825,588,841,556,772
0433169,Units,1302,1147,376,494,1417,506,1486,568,574,410,1048,1406
0433177,Units,58,601,388,844,729,984,65,641,957,561,873,956
0433185,Units,1263,11,1124,139,145,1366,517,1074,813,168,438,961
0433193,Units,971,790,1245,174,113,448,1010,552,963,311,132,120
0433359,Units,1059,1520,673,1656,1887,256,299,646,572,1703,861,1744
0433797,Units,4908,4603,670,3569,3293,2689,2295,1090,4687,2751,1935,4373
0434019,Units,402,206,171,465,376,459,266,487,42,197,43,322
0434191,Units,1301,1878,3039,2172,2608,1972,319,921,2810,2080,529,1830
0434365,Units,299,160,3356,4267,1338,5671,4954,728,4099,2910,4066,614
0434779,Units,6212,5414,4882,654,5684,3200,3264,5111,3551,1651,4760,1356
0434795,Units,503,428,189,378,493,242,226,90,303,152,424,467
0439927,Units,6,8,5,8,5,6,7,0,5,5,2,4
0450001,Units,958,466,1217,360,612,400,1070,88,187,619,1041,899
0450022,Units,282,55,968,813,1280,51,173,846,763,723,95,860
0450024,Units,544,27,444,511,336,376,507,520,113,328,536,549
0450030,Units,32,107,1,151,158,72,175,48,87,11,68,116
0450071,Units,479,223,417,395,14,391,229,340,268,69,15,124
0452151,Units,191,271,435,475,199,120,192,85,110,22,151,156
0470006,Units,912,331,292,521,875,233,765,397,686,429,822,548
0470011,Units,638,326,163,72,503,826,146,393,267,401,923,284
0470012,Units,447,635,629,350,331,416,52,532,1010,570,217,548
0470023,Units,1,0,1,1,1,0,0,1,1,1,1,1
0470035,Units,525,989,240,922,625,974,187,920,365,119,498,668
0470526,Units,0,0,1,1,1,1,1,1,0,1,0,0
0470682,Units,156,44,55,170,170,119,28,50,62,110,53,141
0700018,Units,1502,1521,1782,15,741,731,2714,2914,2133,1597,2945,330
0700020,Units,132,355,178,167,507,590,150,481,38,210,301,549
0700138,Units,6247,7151,8665,6711,13134,10480,12708,5297,13789,9471,3364,5025
0700146,Units,6500,7624,9787,4605,2438,3096,9489,7749,2179,2690,6519,9755
0700187,Units,1691,589,197,125,683,981,2130,2188,674,1958,1206,629
0700249,Units,5,22,25,4,40,25,34,14,10,35,34,31
0700250,Units,1787,1471,209,1567,1793,1789,965,326,1259,1029,248,417
0700251,Units,5,28,1,2,17,7,21,12,4,18,16,0
0700257,Units,2687,1012,1328,202,6668,7169,7194,2802,6159,3381,1879,856
0700258,Units,45,4762,2833,135,2495,1053,441,1573,3283,768,2661,1503
0700259,Units,2992,1742,3905,3238,4875,1716,3617,3751,3683,4846,5008,2439
0700261,Units,3743,5040,7560,1239,5563,4337,7257,6141,7544,340,5314,4131
0700268,Units,26,29,9,13,29,6,11,27,25,28,4,12
0700269,Units,220,15,169,432,449,403,296,154,74,324,41,406
0700284,Units,631,1205,395,910,671,885,716,351,699,147,856,392
0700285,Units,727,583,956,417,309,399,551,735,604,238,307,121
0700318,Units,298,310,278,81,138,262,0,200,310,128,265,217
0700320,Units,144,126,292,271,338,28,449,406,258,296,433,177
0700322,Units,18,130,369,77,74,273,293,85,292,87,214,59
0700323,Units,15,155,157,113,10,158,199,4,181,195,333,187
0700324,Units,306,343,182,345,131,200,1,320,269,173,167,53
0700327,Units,335,263,400,55,297,350,43,323,401,101,291,379
0700332,Units,245,4,33,43,184,74,121,116,183,145,253,32
0700333,Units,168,174,74,30,156,159,117,165,150,83,161,67
0700338,Units,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1
0700339,Units,67,357,234,2,233,179,276,207,135,34,226,54
0700353,Units,709,377,320,137,239,397,32,390,361,473,710,192
0700395,Units,30,179,464,431,498,228,46,43,215,450,11,107
0700404,Units,69,531,411,267,612,389,624,63,211,337,150,145
0700405,Units,329,352,312,324,133,401,304,145,365,399,151,189
0700633,Units,182,246,268,234,123,64,487,506,118,466,473,79
0700849,Units,240,132,212,192,14,268,285,194,244,238,26,83
0700856,Units,67,154,43,102,137,129,40,139,102,155,78,77
0701003,Units,53435,10113,3877,42280,43843,35530,57288,11874,31437,48848,41271,2452
0701367,Units,638,59,1243,1343,1040,101,917,185,836,800,1274,652
0701375,Units,271,656,671,351,393,529,406,492,186,429,34,387
0702738,Units,226,278,310,19,121,194,296,133,304,68,142,360
0704353,Units,1717,9992,9808,3510,819,10187,6086,207,1555,14429,5337,11257
0704361,Units,4588,7391,167,2746,2879,3819,28,5245,570,78,7152,7264
0704502,Units,93,64,200,17,162,109,145,205,132,242,4,33
0704528,Units,158,172,164,177,185,177,168,19,111,36,68,13
0704866,Units,831,385,524,149,556,638,851,741,959,674,935,502
0705012,Units,300,132,120,456,403,154,22,87,96,116,89,230
0706036,Units,0,0,0,0,0,0,0,0,0,0,0,0
0708404,Units,4,5,2,3,2,1,3,4,2,6,1,3
0708412,Units,289,71,120,74,78,205,189,74,161,31,134,271
0708420,Units,328,19,109,136,228,153,358,261,237,216,112,348
0708438,Units,3,6,5,6,4,4,5,5,0,1,6,5
0710324,Units,32,764,671,614,659,455,126,35,273,176,216,296
0720322,Units,269,184,22,265,240,171,258,28,320,48,275,159
0750018,Units,0,0,0,0,0,0,0,0,0,0,0,0
0750101,Units,0,1,1,1,0,1,1,0,1,1,1,0
0750152,Units,0,0,0,0,0,0,0,0,0,0,0,0
0750154,Units,0,0,0,0,0,0,0,0,0,0,0,0
0752741,Units,159,45,158,57,149,29,93,109,69,149,29,55
0753699,Units,143,39,102,39,61,110,169,197,83,32,70,141
0755868,Units,96,92,147,137,95,51,38,9,208,25,196,211
0760009,Units,0,0,0,0,0,0,0,0,0,0,0,0
0770035,Units,2,110,120,3,34,42,249,240,59,33,212,164
0770036,Units,9,1,5,3,8,2,11,11,2,18,15,13
0770061,Units,66,217,41,44,96,167,77,192,161,68,91,130
0770071,Units,51,19,245,128,159,164,184,6,207,79,193,154
0770134,Units,18,591,352,322,433,553,565,506,419,403,57,393
0770145,Units,595,561,103,215,204,181,324,654,376,482,327,259
0770149,Units,55,106,40,28,9,29,20,40,57,70,53,57
0770271,Units,8,13,2,17,20,7,20,19,4,2,9,15
0770289,Units,16,19,13,16,17,4,7,18,9,8,23,9
0771113,Units,66,27,75,71,104,24,19,64,57,50,120,103
0771253,Units,84,274,233,96,54,138,125,123,243,290,46,239
0771444,Units,53,55,18,54,3,142,72,35,93,201,165,197
0771733,Units,252,25,314,49,208,70,106,219,136,66,52,35
0772202,Units,103,205,196,170,85,228,3,181,117,196,33,93
0772210,Units,178,139,121,120,146,30,94,18,146,96,91,28
0772301,Units,198,272,96,231,236,19,122,11,210,263,146,29
0772343,Units,120,253,75,184,250,208,98,10,205,136,61,29
0772384,Units,45,170,180,167,36,192,97,233,81,91,63,169
0772541,Units,191,141,96,9,4,92,52,137,34,16,112,9
0772632,Units,124,115,67,78,26,84,111,150,22,75,11,106
0772657,Units,5,4,29,42,55,3,61,132,38,141,92,61
0772822,Units,113,217,328,283,22,337,204,358,76,248,372,30
0772871,Units,106,85,35,249,361,348,282,16,233,257,325,288
0772889,Units,139,284,312,227,0,69,217,20,109,105,96,1
0772897,Units,47,163,240,255,85,71,135,202,189,242,102,93
0772905,Units,58,150,105,101,8,68,53,81,145,39,4,42
1010004,Units,20,976,746,811,886,1056,750,323,270,851,246,742
1010005,Units,1395,929,511,147,442,1325,248,315,767,232,411,996
1010006,Units,803,176,744,1071,357,937,149,452,779,1032,969,531
1010007,Units,815,121,936,117,854,869,849,285,690,205,730,973
1010008,Units,806,636,261,592,306,572,3,343,253,1000,971,335
1010009,Units,1056,740,785,765,397,400,306,628,489,123,543,956
1010010,Units,1811,1619,622,74,942,548,118,1340,1078,1924,509,1304
1010011,Units,718,142,60,354,796,363,40,613,579,676,835,293
1010019,Units,274,292,219,281,255,149,301,141,185,129,109,238
1013333,Units,0,0,0,0,0,0,0,0,0,0,0,0
1030042,Units,53,82,126,10,1,38,1,67,33,73,28,103
1030052,Units,59,257,535,767,966,1052,314,1518,155,239,79,1202
1030477,Units,90,49,31,35,89,74,7,96,53,47,53,53
1050034,Units,340,241,140,255,221,386,347,178,28,319,272,182
1050035,Units,171,106,152,108,161,112,70,137,50,16,124,97
1050036,Units,207,141,137,133,28,60,82,68,1,12,16,73
1050037,Units,0,0,0,0,0,0,0,0,0,0,0,0
1050244,Units,74,9,111,32,230,147,16,40,95,434,242,68
1050251,Units,862,922,1226,750,306,443,1195,728,586,1020,1155,1260
1050269,Units,352,261,211,296,648,602,612,453,362,85,323,516
1050400,Units,714,83,445,766,300,547,398,407,75,390,127,111
1070020,Units,1,1,0,1,0,0,0,0,1,1,1,0
1070022,Units,1115,1652,646,1723,1347,1356,104,11,93,516,994,1145
1090005,Units,6,0,3,9,10,11,10,11,3,14,0,15
1090009,Units,77,49,243,153,240,234,93,40,110,199,156,86
1090010,Units,991,599,1164,251,427,519,502,201,488,405,14,138
1090014,Units,238,217,199,93,134,59,46,121,38,83,225,109
1090547,Units,46,16,24,20,19,27,44,58,33,58,19,14
1090554,Units,1,1,0,0,0,0,0,0,1,1,0,0
1200037,Units,23,20,6,23,20,5,7,11,22,13,19,13
1200038,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200040,Units,15,2,26,44,46,0,24,14,13,14,43,21
1200043,Units,21,19,19,102,16,40,46,76,35,85,26,78
1200066,Units,33,82,21,21,0,97,101,25,11,37,78,42
1200068,Units,98,97,7,3,30,115,98,42,114,62,17,117
1200071,Units,3,5,1,0,3,6,4,3,6,4,2,0
1200072,Units,7,0,1,4,3,3,3,3,5,3,3,2
1200079,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200083,Units,40,3,7,14,1,26,2,12,5,29,21,6
1200131,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200132,Units,1,0,1,2,1,0,1,0,0,1,0,1
1200133,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200134,Units,2,3,3,2,3,2,2,2,3,2,2,1
1200135,Units,0,2,1,0,2,4,4,1,4,1,0,4
1200136,Units,1,1,1,0,0,0,0,1,1,0,0,1
1200137,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200140,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200142,Units,2,2,2,1,0,2,1,0,1,0,0,1
1200188,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200196,Units,1,1,1,0,0,0,1,1,0,1,0,1
1200205,Units,0,3,4,3,3,3,3,2,0,2,4,0
1200206,Units,2,3,1,3,3,2,2,3,2,0,2,3
1200207,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200208,Units,3,1,2,0,1,1,1,3,1,1,0,1
1200209,Units,0,2,1,2,1,1,2,2,1,1,2,1
1200210,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200212,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200220,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200221,Units,1,1,2,2,1,2,2,2,1,2,2,2
1200222,Units,0,2,3,1,2,1,2,0,3,1,0,1
1200223,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200224,Units,1,0,1,1,1,1,1,1,0,0,0,1
1200225,Units,0,1,0,0,1,1,0,1,1,0,1,1
1200226,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200227,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200228,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200230,Units,1,0,1,1,0,0,1,1,0,1,0,1
1200233,Units,1,2,1,2,1,1,0,2,2,1,2,0
1200234,Units,2,0,1,2,0,2,2,2,1,3,0,1
1200235,Units,0,0,1,1,0,1,1,0,0,1,0,0
1200236,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200239,Units,1,1,0,1,0,2,1,2,1,1,1,1
1200240,Units,0,0,0,1,0,1,0,1,0,0,1,1
1200241,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200242,Units,0,1,0,1,1,0,1,1,1,0,1,1
1200246,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200248,Units,26,84,94,106,2,75,78,94,97,85,12,92
1200256,Units,13,14,10,12,13,8,8,13,8,3,0,2
1200257,Units,1,0,1,3,2,1,3,0,4,1,0,1
1200259,Units,2,6,4,6,3,3,5,6,2,5,4,2
1200263,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200265,Units,1,1,0,1,0,0,1,1,1,1,0,0
1200270,Units,1,1,1,1,0,1,1,1,1,1,1,1
1200271,Units,2,2,1,0,0,2,2,1,0,2,2,2
1200272,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200273,Units,0,-1,0,-1,0,0,-1,-1,0,0,-1,0
1200274,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200275,Units,1,1,2,2,1,1,0,2,0,1,2,2
1200277,Units,5,1,4,4,4,2,4,0,2,1,3,2
1200279,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200280,Units,1,0,0,1,0,3,2,0,2,2,0,1
1200281,Units,1,0,1,1,1,1,0,0,0,0,0,1
1200282,Units,0,0,1,0,1,0,1,1,1,0,0,1
1200284,Units,1,1,0,0,0,0,0,0,1,1,0,0
1200285,Units,1,2,0,1,0,1,0,1,2,1,1,2
1200287,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200288,Units,0,0,1,0,0,0,1,0,1,0,0,0
1200300,Units,0,0,0,0,0,0,0,0,0,0,0,0
1200303,Units,1,2,1,2,2,1,0,0,0,2,1,0
1202357,Units,38,9,4,24,18,24,40,29,38,29,39,7
1202365,Units,134,32,79,54,109,243,208,131,230,83,145,42
1204304,Units,0,0,0,1,0,1,0,0,1,1,0,1
1204320,Units,0,1,0,1,0,1,1,0,1,0,0,1
1204338,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204346,Units,1,1,1,2,6,1,6,1,2,2,0,4
1204353,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204361,Units,1,0,0,0,1,0,0,1,1,0,1,0
1204379,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204387,Units,2,1,1,1,2,2,2,0,2,1,2,3
1204395,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204403,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204429,Units,1,2,1,1,2,2,2,1,0,1,2,0
1204437,Units,0,1,1,0,1,0,1,0,1,0,1,1
1204452,Units,0,0,0,0,0,0,0,0,0,0,0,0
1204510,Units,1,2,1,1,2,0,0,0,1,0,2,1
